id,sale_date,quantity,product,store
1,11/2/2025,1,1,1
2,1/1/2022,93.14,1,1
3,1/2/2022,97.46,1,1
4,1/3/2022,90.71,1,1
5,1/4/2022,97.1,1,1
6,1/5/2022,90.74,1,1
7,1/6/2022,94.34,1,1
8,1/7/2022,97.94,1,1
9,1/8/2022,107.93,1,1
10,1/9/2022,105.01,1,1
11,1/10/2022,102.09,1,1
12,1/11/2022,94.56,1,1
13,1/12/2022,94.46,1,1
14,1/13/2022,94.37,1,1
15,1/14/2022,94.27,1,1
16,1/15/2022,93.26,1,1
17,1/16/2022,94.28,1,1
18,1/17/2022,95.49,1,1
19,1/18/2022,95.61,1,1
20,1/19/2022,95.61,1,1
21,1/20/2022,95.61,1,1
22,1/21/2022,95.61,1,1
23,1/22/2022,96.09,1,1
24,1/23/2022,95.8,1,1
25,1/24/2022,95.5,1,1
26,1/25/2022,95.21,1,1
27,1/26/2022,94.91,1,1
28,1/27/2022,94.62,1,1
29,1/28/2022,94.32,1,1
30,1/29/2022,94.03,1,1
31,1/30/2022,93.73,1,1
32,1/31/2022,93.44,1,1
33,2/1/2022,93.14,1,1
34,2/2/2022,94.5,1,1
35,2/3/2022,95.87,1,1
36,2/4/2022,97.23,1,1
37,2/5/2022,93.7,1,1
38,2/6/2022,96.68,1,1
39,2/7/2022,99.65,1,1
40,2/8/2022,106.94,1,1
41,2/9/2022,107.98,1,1
42,2/10/2022,104.15,1,1
43,2/11/2022,98.88,1,1
44,2/12/2022,93.61,1,1
45,2/13/2022,97.03,1,1
46,2/14/2022,97.3,1,1
47,2/15/2022,95.95,1,1
48,2/16/2022,95.95,1,1
49,2/17/2022,95.95,1,1
50,2/18/2022,95.95,1,1
51,2/19/2022,96.69,1,1
52,2/20/2022,94.92,1,1
53,2/21/2022,92.79,1,1
54,2/22/2022,93.12,1,1
55,2/23/2022,92.99,1,1
56,2/24/2022,92.87,1,1
57,2/25/2022,92.74,1,1
58,2/26/2022,92.63,1,1
59,2/27/2022,92.84,1,1
60,2/28/2022,92.03,1,1
61,3/1/2022,92.97,1,1
62,3/2/2022,93.65,1,1
63,3/3/2022,94.34,1,1
64,3/4/2022,95.02,1,1
65,3/5/2022,95.25,1,1
66,3/6/2022,93.41,1,1
67,3/7/2022,101.92,1,1
68,3/8/2022,105.3,1,1
69,3/9/2022,108.67,1,1
70,3/10/2022,103.29,1,1
71,3/11/2022,99.56,1,1
72,3/12/2022,95.83,1,1
73,3/13/2022,92.47,1,1
74,3/14/2022,93.03,1,1
75,3/15/2022,93.49,1,1
76,3/16/2022,93.56,1,1
77,3/17/2022,93.64,1,1
78,3/18/2022,93.71,1,1
79,3/19/2022,92.44,1,1
80,3/20/2022,93.21,1,1
81,3/21/2022,92.46,1,1
82,3/22/2022,93.41,1,1
83,3/23/2022,93.79,1,1
84,3/24/2022,94.17,1,1
85,3/25/2022,94.55,1,1
86,3/26/2022,95.99,1,1
87,3/27/2022,96.53,1,1
88,3/28/2022,97.24,1,1
89,3/29/2022,97.24,1,1
90,3/30/2022,95.87,1,1
91,3/31/2022,94.49,1,1
92,4/1/2022,93.12,1,1
93,4/2/2022,96.21,1,1
94,4/3/2022,90.13,1,1
95,4/4/2022,93.26,1,1
96,4/5/2022,93.31,1,1
97,4/6/2022,93.36,1,1
98,4/7/2022,102,1,1
99,4/8/2022,104.65,1,1
100,4/9/2022,107.29,1,1
101,4/10/2022,103.83,1,1
102,4/11/2022,94.58,1,1
103,4/12/2022,96.97,1,1
104,4/13/2022,94.23,1,1
105,4/14/2022,91.49,1,1
106,4/15/2022,88.75,1,1
107,4/16/2022,88.73,1,1
108,4/17/2022,86.65,1,1
109,4/18/2022,87.83,1,1
110,4/19/2022,88.04,1,1
111,4/20/2022,88.3,1,1
112,4/21/2022,88.55,1,1
113,4/22/2022,88.81,1,1
114,4/23/2022,89.21,1,1
115,4/24/2022,91.07,1,1
116,4/25/2022,93.27,1,1
117,4/26/2022,92.63,1,1
118,4/27/2022,93.12,1,1
119,4/28/2022,93.6,1,1
120,4/29/2022,94.09,1,1
121,4/30/2022,93.22,1,1
122,5/1/2022,94.95,1,1
123,5/2/2022,96.68,1,1
124,5/3/2022,90.88,1,1
125,5/4/2022,92.76,1,1
126,5/5/2022,93.21,1,1
127,5/6/2022,93.66,1,1
128,5/7/2022,103.09,1,1
129,5/8/2022,106.61,1,1
130,5/9/2022,108.5,1,1
131,5/10/2022,100.95,1,1
132,5/11/2022,93.4,1,1
133,5/12/2022,97.14,1,1
134,5/13/2022,94.76,1,1
135,5/14/2022,93.96,1,1
136,5/15/2022,93.95,1,1
137,5/16/2022,94.85,1,1
138,5/17/2022,95.72,1,1
139,5/18/2022,95.91,1,1
140,5/19/2022,96.1,1,1
141,5/20/2022,96.29,1,1
142,5/21/2022,95.55,1,1
143,5/22/2022,93.98,1,1
144,5/23/2022,94.12,1,1
145,5/24/2022,93.84,1,1
146,5/25/2022,93.84,1,1
147,5/26/2022,93.84,1,1
148,5/27/2022,93.84,1,1
149,5/28/2022,94.65,1,1
150,5/29/2022,93.13,1,1
151,5/30/2022,93.57,1,1
152,5/31/2022,91.93,1,1
153,6/1/2022,94.19,1,1
154,6/2/2022,96.44,1,1
155,6/3/2022,90.47,1,1
156,6/4/2022,93.14,1,1
157,6/5/2022,95.8,1,1
158,6/6/2022,94.71,1,1
159,6/7/2022,100.02,1,1
160,6/8/2022,105.32,1,1
161,6/9/2022,110.62,1,1
162,6/10/2022,102.68,1,1
163,6/11/2022,94.74,1,1
164,6/12/2022,97.48,1,1
165,6/13/2022,96.66,1,1
166,6/14/2022,97.83,1,1
167,6/15/2022,97.84,1,1
168,6/16/2022,97.85,1,1
169,6/17/2022,97.86,1,1
170,6/18/2022,98.46,1,1
171,6/19/2022,98.24,1,1
172,6/20/2022,94.89,1,1
173,6/21/2022,93.81,1,1
174,6/22/2022,94.23,1,1
175,6/23/2022,94.65,1,1
176,6/24/2022,95.07,1,1
177,6/25/2022,95.25,1,1
178,6/26/2022,95.47,1,1
179,6/27/2022,97,1,1
180,6/28/2022,96.36,1,1
181,6/29/2022,95.31,1,1
182,6/30/2022,94.25,1,1
183,7/1/2022,93.2,1,1
184,7/2/2022,95.84,1,1
185,7/3/2022,91.53,1,1
186,7/4/2022,93.41,1,1
187,7/5/2022,95.28,1,1
188,7/6/2022,96.11,1,1
189,7/7/2022,100.26,1,1
190,7/8/2022,104.41,1,1
191,7/9/2022,103.74,1,1
192,7/10/2022,103.07,1,1
193,7/11/2022,94.25,1,1
194,7/12/2022,97.24,1,1
195,7/13/2022,100.23,1,1
196,7/14/2022,103.21,1,1
197,7/15/2022,106.2,1,1
198,7/16/2022,105.88,1,1
199,7/17/2022,106.39,1,1
200,7/18/2022,107.94,1,1
201,7/19/2022,108,1,1
202,7/20/2022,107.54,1,1
203,7/21/2022,107.07,1,1
204,7/22/2022,106.61,1,1
205,7/23/2022,107.13,1,1
206,7/24/2022,105.41,1,1
207,7/25/2022,105.47,1,1
208,7/26/2022,104.76,1,1
209,7/27/2022,104.71,1,1
210,7/28/2022,104.66,1,1
211,7/29/2022,104.61,1,1
212,7/30/2022,103.14,1,1
213,7/31/2022,105.1,1,1
214,8/1/2022,93.21,1,1
215,8/2/2022,95.71,1,1
216,8/3/2022,92.01,1,1
217,8/4/2022,93.36,1,1
218,8/5/2022,96.24,1,1
219,8/6/2022,99.64,1,1
220,8/7/2022,103.03,1,1
221,8/8/2022,103.45,1,1
222,8/9/2022,103.5,1,1
223,8/10/2022,103.54,1,1
224,8/11/2022,94.56,1,1
225,8/12/2022,100.67,1,1
226,8/13/2022,106.78,1,1
227,8/14/2022,106.89,1,1
228,8/15/2022,107.43,1,1
229,8/16/2022,107.58,1,1
230,8/17/2022,107.43,1,1
231,8/18/2022,107.29,1,1
232,8/19/2022,107.14,1,1
233,8/20/2022,104.9,1,1
234,8/21/2022,103.93,1,1
235,8/22/2022,104.93,1,1
236,8/23/2022,106.48,1,1
237,8/24/2022,106.28,1,1
238,8/25/2022,106.08,1,1
239,8/26/2022,105.88,1,1
240,8/27/2022,109.11,1,1
241,8/28/2022,110.17,1,1
242,8/29/2022,108.51,1,1
243,8/30/2022,107.98,1,1
244,8/31/2022,100.53,1,1
245,9/1/2022,93.08,1,1
246,9/2/2022,97.01,1,1
247,9/3/2022,95.6,1,1
248,9/4/2022,94.18,1,1
249,9/5/2022,96.09,1,1
250,9/6/2022,99.78,1,1
251,9/7/2022,103.46,1,1
252,9/8/2022,106.04,1,1
253,9/9/2022,109.62,1,1
254,9/10/2022,101.63,1,1
255,9/11/2022,99.37,1,1
256,9/12/2022,97.1,1,1
257,9/13/2022,108.31,1,1
258,9/14/2022,107.72,1,1
259,9/15/2022,107.13,1,1
260,9/16/2022,106.54,1,1
261,9/17/2022,105.36,1,1
262,9/18/2022,108.23,1,1
263,9/19/2022,106.26,1,1
264,9/20/2022,104.7,1,1
265,9/21/2022,104.34,1,1
266,9/22/2022,103.98,1,1
267,9/23/2022,103.62,1,1
268,9/24/2022,103.22,1,1
269,9/25/2022,102.68,1,1
270,9/26/2022,103.1,1,1
271,9/27/2022,102.86,1,1
272,9/28/2022,102.69,1,1
273,9/29/2022,102.53,1,1
274,9/30/2022,102.36,1,1
275,10/1/2022,93.81,1,1
276,10/2/2022,97.48,1,1
277,10/3/2022,96.04,1,1
278,10/4/2022,94.59,1,1
279,10/5/2022,95.81,1,1
280,10/6/2022,95.82,1,1
281,10/7/2022,106.41,1,1
282,10/8/2022,106.95,1,1
283,10/9/2022,107.48,1,1
284,10/10/2022,103.08,1,1
285,10/11/2022,100.7,1,1
286,10/12/2022,98.32,1,1
287,10/13/2022,100.39,1,1
288,10/14/2022,102.46,1,1
289,10/15/2022,101.15,1,1
290,10/16/2022,102.34,1,1
291,10/17/2022,100.72,1,1
292,10/18/2022,100.87,1,1
293,10/19/2022,100.34,1,1
294,10/20/2022,99.81,1,1
295,10/21/2022,99.28,1,1
296,10/22/2022,97.63,1,1
297,10/23/2022,96.9,1,1
298,10/24/2022,96.65,1,1
299,10/25/2022,97.4,1,1
300,10/26/2022,97.85,1,1
301,10/27/2022,98.29,1,1
302,10/28/2022,98.74,1,1
303,10/29/2022,98.29,1,1
304,10/30/2022,96.81,1,1
305,10/31/2022,96.29,1,1
306,11/1/2022,93.6,1,1
307,11/2/2022,92.84,1,1
308,11/3/2022,92.07,1,1
309,11/4/2022,93.44,1,1
310,11/5/2022,94.47,1,1
