store_id,product_id,stock,days_to_cover
1,1,89,7
1,2,34,3
1,3,42,21
1,4,66,365
1,5,94,730
1,6,94,30
1,7,83,30
1,8,18,30
1,9,28,30
1,10,55,30
1,11,48,14
1,12,95,4
1,13,56,15
1,14,26,12
1,15,36,32
1,16,66,30
1,17,41,30
1,18,68,30
1,19,27,30
1,20,35,30
1,21,99,30
1,22,61,30
1,23,91,30
1,24,44,30
1,25,31,30
1,26,17,30
1,27,46,30
1,28,61,30
1,29,20,30
1,30,88,30
1,31,40,12
1,32,73,30
1,33,31,30
1,34,93,30
1,35,97,30
1,36,36,30
1,37,67,30
1,38,67,30
1,39,60,30
1,40,22,30
1,41,32,30
1,42,99,30
1,43,47,7
1,44,13,7
1,45,23,7
1,46,15,7
1,47,21,7
1,48,86,7
1,49,38,7
1,50,28,7
